"","Name","Code","Population","Total_Words","Date","Time","Translated","Fuzzy","Untranslated"
"1","Arabic","ar",351664195,6790,"20121","18:45:19",683,94,6013
"2","Bengali","bn",267193288,1050,"19733","20:16:50",38,4,1008
"3","Catalan","ca",8679138,6998,"20098","09:26:21",2657,4149,192
"4","Czech","cs",13045532,6784,"20079","21:48:10",142,0,6642
"5","Danish","da",7072056,6223,"19863","09:47:19",1737,597,3889
"6","German","de",136350226,8836,"20035","09:36:26",8017,360,459
"7","English","en",1636485035,8929,"N/A","N/A",8929,0,0
"8","English (United Kingdom)","en_GB",64445878,6787,"20171","08:58:40",5999,66,722
"9","Spanish","es",493528078,8804,"20054","18:30:53",8215,531,58
"10","Persian","fa",84710458,3166,"19810","04:46:23",267,9,2890
"11","French","fr",278611506,8850,"20046","17:46:17",8667,6,177
"12","Hindi","hi",545556054,6792,"19971","13:44:44",423,209,6160
"13","Hungarian","hu",12443429,6779,"19975","01:35:23",953,48,5778
"14","Indonesian","id",171207687,776,"19389","17:43:18",2,0,774
"15","Italian","it",70247059,7928,"20035","09:36:30",7126,356,446
"16","Japanese","ja",119729025,6790,"20035","09:36:30",5477,527,786
"17","Georgian","ka",3543645,181,"19829","10:52:27",8,0,173
"18","Korean","ko",78357047,8086,"20035","09:36:31",5179,604,2303
"19","Lithuanian","lt",2488617,6850,"20035","09:36:32",5739,490,621
"20","Nepali","ne",20903374,6787,"19916","15:04:12",410,19,6358
"21","Dutch","nl",31765645,6787,"19801","00:27:44",504,0,6283
"22","Norwegian Nynorsk","nn",1366860,2874,"19804","15:48:33",1813,617,444
"23","Pangasinan","pag",1528533,6787,"N/A","N/A",1,0,6786
"24","Polish","pl",41077398,8843,"20111","10:23:17",8400,130,313
"25","Portuguese (Brazil)","pt_BR",192661560,7413,"20047","21:50:38",5195,1231,987
"26","Russian","ru",195841151,7114,"20163","08:53:03",6927,0,187
"27","Albanian","sq",6791906,2480,"19234","16:41:51",31,113,2336
"28","Turkish","tr",80360705,6789,"19910","16:30:43",1969,612,4208
"29","Urdu","ur",290790290,776,"19389","17:52:09",2,0,774
"30","Chinese (Simplified)","zh_Hans",1266066359,6229,"20151","03:32:57",5042,549,638
"31","Chinese (Traditional)","zh_Hant",38612556,6282,"20035","09:36:38",5205,445,632
"32","English","en@quot",0,56,"N/A","N/A",56,0,0
