user,language,library,units,date,time
tbaars,Portuguese (Brazil),grid (R files),83000,20343,15:20:41
tbaars,Portuguese (Brazil),tools (C files),105149,20343,15:18:02
tbaars,Portuguese (Brazil),grid (R files),82997,20343,15:16:47
tbaars,Portuguese (Brazil),tools (R files),226480,20343,15:16:34
tbaars,Portuguese (Brazil),grDevices (C files),226180,20343,15:13:38
tbaars,Portuguese (Brazil),tools (C files),105142,20343,15:10:07
tbaars,Portuguese (Brazil),splines (R files),139064,20343,15:07:49
tbaars,Portuguese (Brazil),grid (R files),82989,20343,15:07:03
tbaars,Portuguese (Brazil),grDevices (C files),74103,20343,15:06:53
tbaars,Portuguese (Brazil),splines (R files),139063,20343,15:06:47
tbaars,Portuguese (Brazil),tools (R files),226474,20343,15:06:04
tbaars,Portuguese (Brazil),splines (R files),139062,20343,15:05:21
tbaars,Portuguese (Brazil),splines (R files),139061,20343,15:04:15
tbaars,Portuguese (Brazil),tools (C files),105137,20343,15:04:05
tbaars,Portuguese (Brazil),grid (R files),82985,20343,14:58:10
tbaars,Portuguese (Brazil),tools (C files),105135,20343,14:51:08
tbaars,Portuguese (Brazil),graphics (C files),78275,20343,14:21:06
tbaars,Portuguese (Brazil),methods (R files),87780,20343,14:18:49
tbaars,Portuguese (Brazil),grDevices (R files),138433,20343,14:17:27
tbaars,Portuguese (Brazil),grid (R files),83034,20343,14:16:00
tbaars,Portuguese (Brazil),grid (R files),83033,20343,14:14:50
tbaars,Portuguese (Brazil),grDevices (C files),74146,20343,14:13:45
tbaars,Portuguese (Brazil),grDevices (C files),74145,20343,14:10:45
tbaars,Portuguese (Brazil),grDevices (C files),74142,20343,14:05:47
tbaars,Portuguese (Brazil),stats (C files),226643,20343,13:53:58
tbaars,Portuguese (Brazil),grDevices (C files),74134,20343,13:37:28
phalkekp,Japanese,base (R files),36177,20343,13:26:08
phalkekp,Japanese,base (R files),36175,20343,13:25:54
tbaars,Portuguese (Brazil),grDevices (C files),74131,20343,13:07:30
tbaars,Portuguese (Brazil),grDevices (C files),74128,20343,13:02:16
phalkekp,Japanese,base (R files),35912,20343,12:39:58
phalkekp,Japanese,base (R files),35858,20343,12:28:11
tbaars,Portuguese (Brazil),grDevices (C files),74121,20343,12:20:19
tbaars,Portuguese (Brazil),stats (C files),270591,20343,10:46:51
phalkekp,Japanese,base (R files),35739,20343,10:37:09
phalkekp,Japanese,base (R files),35703,20343,10:21:19
phalkekp,Japanese,base (R GUI),29743,20343,09:56:46
erikaris,Indonesian,base (C files),277265,20343,09:51:23
lukaszdaniel,English (United Kingdom),base (C files),237084,20254,09:32:42
lukaszdaniel,English (United Kingdom),base (C files),257571,20253,09:11:57
alswajiab,Arabic,stats (R files),120505,20121,18:44:12
alswajiab,Arabic,Mac GUI,172930,20112,11:11:07
luciorq,Portuguese (Brazil),methods (R files),87984,20047,21:36:12
focardozom,Spanish,base (C files),226985,20046,03:31:05
luciorq,Portuguese (Brazil),base (C files),163131,20046,01:40:59
luciorq,Portuguese (Brazil),base (C files),163130,20046,01:40:41
yOOs,Arabic,base (R files),119236,20008,10:43:18
yOOs,Arabic,base (R files),119234,20008,10:40:10
GabiLima,Portuguese (Brazil),stats (R files),170371,20005,09:27:50
GabiLima,Portuguese (Brazil),parallel (R files),126756,20005,08:50:58
GabiLima,Portuguese (Brazil),graphics (R files),80433,20004,15:14:08
GabiLima,Portuguese (Brazil),graphics (R files),139024,20004,15:09:24
GabiLima,Portuguese (Brazil),graphics (R files),80399,20004,15:00:10
GabiLima,Portuguese (Brazil),graphics (R files),80375,20004,14:37:24
GabiLima,Portuguese (Brazil),graphics (R files),80364,20004,14:25:52
155138y@,Chinese (Simplified Han script),base (R files),40358,19992,09:24:47
155138y@,Chinese (Simplified Han script),base (R files),40360,19989,15:30:52
155138y@,Chinese (Simplified Han script),grDevices (R files),226106,19989,15:30:52
155138y@,Chinese (Simplified Han script),base (R files),40355,19988,07:52:28
lukaszdaniel,Polish,base (C files),161189,19974,13:58:55
Tomek,Polish,Mac GUI,256617,19972,22:17:48
lukaszdaniel,Polish,Mac GUI,256791,19972,08:01:55
lukaszdaniel,Polish,Mac GUI,256755,19972,07:53:48
jyoti-bhogal,Hindi,base (R files),179034,19971,13:19:05
jyoti-bhogal,Hindi,base (R files),179033,19971,13:18:17
arjendeniz,Turkish,base (R files),40150,19910,16:30:13
arjendeniz,Turkish,base (R files),40156,19910,16:26:54
arjendeniz,Turkish,base (R files),40159,19910,16:25:22
arjendeniz,Turkish,base (R files),40161,19910,16:20:40
arjendeniz,Turkish,base (R files),40164,19910,16:15:58
arjendeniz,Turkish,base (R files),40233,19909,16:27:11
arjendeniz,Turkish,base (R files),40255,19908,19:23:50
arjendeniz,Turkish,base (R files),39818,19906,16:49:07
arjendeniz,Turkish,base (R files),39811,19906,16:46:43
arjendeniz,Turkish,base (R files),39810,19906,16:45:22
szeller,German,base (C files),226943,19906,15:52:55
szeller,German,base (C files),226941,19906,15:52:26
szeller,German,base (C files),142631,19906,15:51:46
szeller,German,base (C files),142621,19906,15:51:00
szeller,German,base (C files),237070,19906,15:50:23
szeller,German,base (C files),226936,19906,15:48:13
szeller,German,base (C files),226935,19906,15:47:35
szeller,German,base (C files),142112,19906,15:46:40
arjendeniz,Turkish,base (R files),39783,19906,15:46:33
szeller,German,base (C files),226933,19906,15:45:57
arjendeniz,Turkish,base (R files),39777,19906,15:43:31
arjendeniz,Turkish,base (R files),39773,19906,15:40:05
Rikivillalba,Spanish,base (C files),146600,19894,06:05:18
Rikivillalba,Spanish,base (C files),146498,19894,05:58:05
