"","S.no","Library","Component","Language","Total_words","Translated","Untranslated","Fuzzy"
"1",1,"base (R GUI)","R","English",264,264,0,0
"2",2,"base (R GUI)","R","Danish",264,263,0,1
"3",3,"base (R GUI)","R","German",264,264,0,0
"4",4,"base (R GUI)","R","Spanish",264,264,0,0
"5",5,"base (R GUI)","R","Persian",264,256,0,8
"6",6,"base (R GUI)","R","French",264,264,0,0
"7",7,"base (R GUI)","R","Italian",264,264,0,0
"8",8,"base (R GUI)","R","Japanese",264,262,0,2
"9",9,"base (R GUI)","R","Korean",264,259,0,5
"10",10,"base (R GUI)","R","Lithuanian",264,258,0,6
"11",11,"base (R GUI)","R","Norwegian Nynorsk",264,256,0,8
"12",12,"base (R GUI)","R","Polish",264,264,0,0
"13",13,"base (R GUI)","R","Portuguese (Brazil)",264,256,0,8
"14",14,"base (R GUI)","R","Russian",264,264,0,0
"15",15,"base (R GUI)","R","Turkish",264,256,0,8
"16",16,"base (R GUI)","R","Chinese (Simplified Han script)",264,264,0,0
"17",17,"base (R GUI)","R","Chinese (Traditional Han script)",264,258,0,6
"18",18,"base (R GUI)","R","Arabic",264,261,3,0
"19",19,"base (R GUI)","R","Hindi",264,264,0,0
"20",20,"base (R GUI)","R","Nepali",264,264,0,0
"21",21,"base (R GUI)","R","Bengali",264,5,259,0
"22",22,"base (R GUI)","R","Catalan",264,264,0,0
"23",23,"base (R GUI)","R","Dutch",264,1,263,0
"24",24,"base (R GUI)","R","Hungarian",264,235,15,14
"25",25,"base (R GUI)","R","English (United Kingdom)",264,264,0,0
"26",26,"base (R GUI)","R","Pangasinan",264,0,264,0
"27",27,"base (R GUI)","R","Czech",264,0,264,0
"28",28,"base (R GUI)","R","Indonesian",264,43,221,0
"29",29,"base (R GUI)","R","Albanian",264,0,264,0
"30",30,"base (R GUI)","R","Urdu",264,0,264,0
"31",1,"The R Project for Statistical Computing","English","English",235,235,0,0
"32",2,"The R Project for Statistical Computing","English","Danish",179,2,177,0
"33",3,"The R Project for Statistical Computing","English","German",179,6,173,0
"34",4,"The R Project for Statistical Computing","English","Spanish",207,149,58,0
"35",5,"The R Project for Statistical Computing","English","Persian",179,2,177,0
"36",6,"The R Project for Statistical Computing","English","French",179,19,159,1
"37",7,"The R Project for Statistical Computing","English","Italian",179,5,174,0
"38",8,"The R Project for Statistical Computing","English","Japanese",181,5,176,0
"39",9,"The R Project for Statistical Computing","English","Korean",179,5,174,0
"40",10,"The R Project for Statistical Computing","English","Lithuanian",179,2,177,0
"41",11,"The R Project for Statistical Computing","English","Norwegian Nynorsk",179,2,177,0
"42",12,"The R Project for Statistical Computing","English","Polish",175,175,0,0
"43",13,"The R Project for Statistical Computing","English","Portuguese (Brazil)",196,61,135,0
"44",14,"The R Project for Statistical Computing","English","Russian",179,11,168,0
"45",15,"The R Project for Statistical Computing","English","Turkish",181,5,176,0
"46",16,"The R Project for Statistical Computing","English","Chinese (Simplified Han script)",179,113,66,0
"47",17,"The R Project for Statistical Computing","English","Chinese (Traditional Han script)",179,2,177,0
"48",18,"The R Project for Statistical Computing","English","English (United Kingdom)",179,9,170,0
"49",19,"The R Project for Statistical Computing","English","Hungarian",179,6,170,3
"50",20,"The R Project for Statistical Computing","English","Arabic",179,179,0,0
"51",21,"The R Project for Statistical Computing","English","Albanian",179,2,177,0
"52",22,"The R Project for Statistical Computing","English","Hindi",184,28,156,0
"53",23,"The R Project for Statistical Computing","English","Indonesian",179,2,177,0
"54",24,"The R Project for Statistical Computing","English","Bengali",179,8,171,0
"55",25,"The R Project for Statistical Computing","English","Urdu",179,2,177,0
"56",26,"The R Project for Statistical Computing","English","Nepali",179,106,0,73
"57",27,"The R Project for Statistical Computing","English","Catalan",183,25,158,0
"58",28,"The R Project for Statistical Computing","English","Dutch",179,2,177,0
"59",29,"The R Project for Statistical Computing","English","Pangasinan",179,2,177,0
"60",30,"The R Project for Statistical Computing","English","Czech",176,1,175,0
"61",1,"base (R files)","R","English",599,599,0,0
"62",2,"base (R files)","R","Danish",587,448,63,76
"63",3,"base (R files)","R","German",587,571,5,11
"64",4,"base (R files)","R","Persian",587,1,586,0
"65",5,"base (R files)","R","French",591,579,2,10
"66",6,"base (R files)","R","Italian",587,553,13,21
"67",7,"base (R files)","R","Japanese",587,499,20,68
"68",8,"base (R files)","R","Korean",587,369,172,46
"69",9,"base (R files)","R","Lithuanian",587,517,37,33
"70",10,"base (R files)","R","Norwegian Nynorsk",587,347,81,159
"71",11,"base (R files)","R","Polish",591,579,3,9
"72",12,"base (R files)","R","Portuguese (Brazil)",588,565,6,17
"73",13,"base (R files)","R","Russian",587,548,24,15
"74",14,"base (R files)","R","Turkish",587,124,434,29
"75",15,"base (R files)","R","Chinese (Simplified Han script)",587,483,51,53
"76",16,"base (R files)","R","Chinese (Traditional Han script)",587,484,51,52
"77",17,"base (R files)","R","Hungarian",587,324,235,28
"78",18,"base (R files)","R","Arabic",587,578,5,4
"79",19,"base (R files)","R","Albanian",587,30,550,7
"80",20,"base (R files)","R","Spanish",592,555,20,17
"81",21,"base (R files)","R","Indonesian",587,13,574,0
"82",22,"base (R files)","R","Bengali",587,24,556,7
"83",23,"base (R files)","R","Urdu",587,1,586,0
"84",24,"base (R files)","R","Dutch",587,1,586,0
"85",25,"base (R files)","R","Hindi",587,28,553,6
"86",26,"base (R files)","R","Nepali",587,9,575,3
"87",27,"base (R files)","R","Catalan",590,572,6,12
"88",28,"base (R files)","R","English (United Kingdom)",587,568,5,14
"89",29,"base (R files)","R","Pangasinan",579,0,579,0
"90",30,"base (R files)","R","Czech",579,0,579,0
"91",1,"base (C files)","C","English",1787,1787,0,0
"92",2,"base (C files)","C","Danish",1741,484,1080,177
"93",3,"base (C files)","C","German",1741,1675,12,54
"94",4,"base (C files)","C","Spanish",1741,1697,9,35
"95",5,"base (C files)","C","Persian",1741,3,1738,0
"96",6,"base (C files)","C","French",1741,1691,12,38
"97",7,"base (C files)","C","Italian",1741,1574,32,135
"98",8,"base (C files)","C","Japanese",1741,1341,135,265
"99",9,"base (C files)","C","Korean",1741,1167,364,210
"100",10,"base (C files)","C","Lithuanian",1741,1468,84,189
"101",11,"base (C files)","C","Norwegian Nynorsk",1741,1087,194,460
"102",12,"base (C files)","C","Polish",1741,1689,12,40
"103",13,"base (C files)","C","Portuguese (Brazil)",1741,1418,34,289
"104",14,"base (C files)","C","Russian",1741,1675,13,53
"105",15,"base (C files)","C","Turkish",1741,1088,201,452
"106",16,"base (C files)","C","Chinese (Simplified Han script)",1741,1388,121,232
"107",17,"base (C files)","C","Chinese (Traditional Han script)",1741,1401,108,232
"108",18,"base (C files)","C","Arabic",1741,1727,4,10
"109",19,"base (C files)","C","Albanian",1741,0,1623,118
"110",20,"base (C files)","C","English (United Kingdom)",1741,1633,42,66
"111",21,"base (C files)","C","Hindi",1741,51,1466,224
"112",22,"base (C files)","C","Nepali",1741,8,1432,301
"113",23,"base (C files)","C","Catalan",1741,308,23,1410
"114",24,"base (C files)","C","Dutch",1741,86,1649,6
"115",25,"base (C files)","C","Hungarian",1741,14,1718,9
"116",26,"base (C files)","C","Pangasinan",1692,0,1692,0
"117",27,"base (C files)","C","Czech",1692,0,1692,0
"118",28,"base (C files)","C","Bengali",1693,0,1693,0
"119",29,"base (C files)","C","Indonesian",1741,24,1713,4
"120",30,"base (C files)","C","Urdu",1693,0,1693,0
"121",1,"compiler","English","English",38,38,0,0
"122",2,"compiler","English","Danish",38,30,5,3
"123",3,"compiler","English","German",38,38,0,0
"124",4,"compiler","English","French",38,38,0,0
"125",5,"compiler","English","Italian",38,38,0,0
"126",6,"compiler","English","Japanese",38,32,5,1
"127",7,"compiler","English","Korean",38,21,17,0
"128",8,"compiler","English","Lithuanian",38,38,0,0
"129",9,"compiler","English","Polish",38,38,0,0
"130",10,"compiler","English","Portuguese (Brazil)",38,38,0,0
"131",11,"compiler","English","Russian",38,38,0,0
"132",12,"compiler","English","Chinese (Simplified Han script)",38,34,3,1
"133",13,"compiler","English","Chinese (Traditional Han script)",38,38,0,0
"134",14,"compiler","English","Arabic",38,37,1,0
"135",15,"compiler","English","Nepali",38,6,32,0
"136",16,"compiler","English","Spanish",38,38,0,0
"137",17,"compiler","English","Dutch",38,0,38,0
"138",18,"compiler","English","Hindi",38,0,38,0
"139",19,"compiler","English","Turkish",38,0,38,0
"140",20,"compiler","English","Hungarian",38,15,23,0
"141",21,"compiler","English","Catalan",38,38,0,0
"142",22,"compiler","English","English (United Kingdom)",38,38,0,0
"143",23,"compiler","English","Pangasinan",38,0,38,0
"144",24,"compiler","English","Czech",38,0,38,0
"145",25,"compiler","English","Bengali",38,0,38,0
"146",26,"compiler","English","Persian",38,0,38,0
"147",27,"compiler","English","Indonesian",38,32,6,0
"148",28,"compiler","English","Norwegian Nynorsk",38,0,38,0
"149",29,"compiler","English","Albanian",38,0,38,0
"150",30,"compiler","English","Urdu",38,0,38,0
"151",1,"grDevices (C files)","C","English",224,224,0,0
"152",2,"grDevices (C files)","C","Danish",213,78,67,68
"153",3,"grDevices (C files)","C","German",213,206,2,5
"154",4,"grDevices (C files)","C","English (United Kingdom)",213,206,2,5
"155",5,"grDevices (C files)","C","French",213,197,2,14
"156",6,"grDevices (C files)","C","Italian",213,179,6,28
"157",7,"grDevices (C files)","C","Japanese",213,142,46,25
"158",8,"grDevices (C files)","C","Korean",213,134,56,23
"159",9,"grDevices (C files)","C","Lithuanian",213,149,43,21
"160",10,"grDevices (C files)","C","Polish",213,206,2,5
"161",11,"grDevices (C files)","C","Portuguese (Brazil)",213,68,108,37
"162",12,"grDevices (C files)","C","Russian",213,206,2,5
"163",13,"grDevices (C files)","C","Chinese (Simplified Han script)",213,146,44,23
"164",14,"grDevices (C files)","C","Chinese (Traditional Han script)",213,146,44,23
"165",15,"grDevices (C files)","C","Arabic",213,18,193,2
"166",16,"grDevices (C files)","C","Spanish",213,174,37,2
"167",17,"grDevices (C files)","C","Dutch",213,1,212,0
"168",18,"grDevices (C files)","C","Hindi",213,2,210,1
"169",19,"grDevices (C files)","C","Nepali",206,0,206,0
"170",20,"grDevices (C files)","C","Turkish",206,0,206,0
"171",21,"grDevices (C files)","C","Hungarian",213,3,210,0
"172",22,"grDevices (C files)","C","Catalan",213,8,3,202
"173",23,"grDevices (C files)","C","Pangasinan",206,0,206,0
"174",24,"grDevices (C files)","C","Czech",206,0,206,0
"175",25,"grDevices (C files)","C","Bengali",206,0,206,0
"176",26,"grDevices (C files)","C","Persian",206,0,206,0
"177",27,"grDevices (C files)","C","Indonesian",213,55,157,1
"178",28,"grDevices (C files)","C","Norwegian Nynorsk",206,0,206,0
"179",29,"grDevices (C files)","C","Albanian",206,0,206,0
"180",30,"grDevices (C files)","C","Urdu",206,0,206,0
"181",1,"grDevices (R files)","R","English",177,177,0,0
"182",2,"grDevices (R files)","R","Danish",177,92,43,42
"183",3,"grDevices (R files)","R","German",177,169,4,4
"184",4,"grDevices (R files)","R","English (United Kingdom)",177,170,3,4
"185",5,"grDevices (R files)","R","French",177,170,3,4
"186",6,"grDevices (R files)","R","Italian",177,142,22,13
"187",7,"grDevices (R files)","R","Japanese",177,121,37,19
"188",8,"grDevices (R files)","R","Korean",177,113,47,17
"189",9,"grDevices (R files)","R","Lithuanian",177,132,28,17
"190",10,"grDevices (R files)","R","Polish",177,170,3,4
"191",11,"grDevices (R files)","R","Portuguese (Brazil)",177,155,3,19
"192",12,"grDevices (R files)","R","Russian",177,169,4,4
"193",13,"grDevices (R files)","R","Chinese (Simplified Han script)",177,113,42,22
"194",14,"grDevices (R files)","R","Chinese (Traditional Han script)",177,121,37,19
"195",15,"grDevices (R files)","R","Arabic",177,170,3,4
"196",16,"grDevices (R files)","R","Spanish",177,176,0,1
"197",17,"grDevices (R files)","R","Dutch",170,0,170,0
"198",18,"grDevices (R files)","R","Hindi",177,2,175,0
"199",19,"grDevices (R files)","R","Nepali",170,0,170,0
"200",20,"grDevices (R files)","R","Turkish",170,0,170,0
"201",21,"grDevices (R files)","R","Hungarian",170,0,170,0
"202",22,"grDevices (R files)","R","Catalan",177,10,7,160
"203",23,"grDevices (R files)","R","Pangasinan",170,0,170,0
"204",24,"grDevices (R files)","R","Czech",170,0,170,0
"205",25,"grDevices (R files)","R","Bengali",170,0,170,0
"206",26,"grDevices (R files)","R","Persian",170,0,170,0
"207",27,"grDevices (R files)","R","Indonesian",177,18,158,1
"208",28,"grDevices (R files)","R","Norwegian Nynorsk",170,0,170,0
"209",29,"grDevices (R files)","R","Albanian",170,0,170,0
"210",30,"grDevices (R files)","R","Urdu",170,0,170,0
"211",1,"graphics (C files)","C","English",130,130,0,0
"212",2,"graphics (C files)","C","Danish",130,7,122,1
"213",3,"graphics (C files)","C","German",130,130,0,0
"214",4,"graphics (C files)","C","Spanish",130,130,0,0
"215",5,"graphics (C files)","C","French",130,130,0,0
"216",6,"graphics (C files)","C","Italian",130,130,0,0
"217",7,"graphics (C files)","C","Japanese",130,123,3,4
