user,language,library,units,date,time
mr148,French,grDevices (C files),73096,19234,14:57:59
mr148,French,grDevices (C files),73100,19234,14:59:33
mr148,French,grDevices (C files),73103,19234,15:02:04
mr148,French,grDevices (C files),73107,19234,15:05:03
mr148,Italian,utils (R files),114026,19234,16:15:41
mr148,Italian,grid (R files),82209,19234,16:18:43
lente,Portuguese (Brazil),tools (R files),109394,19236,21:14:47
lente,Portuguese (Brazil),tools (R files),109290,19237,14:11:04
lente,Portuguese (Brazil),tools (R files),109489,19237,14:35:38
PatriLoto,Spanish,graphics (C files),77231,19280,13:56:32
Gtormin,Portuguese (Brazil),stats4 (R files),99823,19280,14:23:03
Gtormin,Portuguese (Brazil),stats4 (R files),99824,19280,14:23:51
Gtormin,Portuguese (Brazil),stats4 (R files),99828,19280,14:24:13
Gtormin,Portuguese (Brazil),methods (R files),87805,19280,14:45:41
beatrizmilz,Portuguese (Brazil),parallel (R files),126766,19286,23:29:51
beatrizmilz,Portuguese (Brazil),parallel (R files),126769,19286,23:30:54
beatrizmilz,Portuguese (Brazil),parallel (R files),126776,19286,23:32:14
msquiroga,Spanish,base (R files),124903,19464,22:42:55
msquiroga,Spanish,base (R files),124904,19464,22:44:34
msquiroga,Spanish,base (R files),124905,19464,22:45:24
msquiroga,Spanish,base (R files),124909,19464,22:51:04
msquiroga,Spanish,base (R files),124914,19464,22:56:27
msquiroga,Spanish,base (R files),124915,19464,22:56:39
msquiroga,Spanish,base (R files),124917,19464,22:57:52
msquiroga,Spanish,base (R files),124918,19464,22:58:01
msquiroga,Spanish,base (R files),124922,19464,23:08:49
msquiroga,Spanish,base (R files),124928,19464,23:12:25
msquiroga,Spanish,base (R files),124945,19464,23:32:57
msquiroga,Spanish,base (R files),124947,19464,23:33:51
msquiroga,Spanish,base (R files),124953,19464,23:37:30
msquiroga,Spanish,base (R files),124955,19464,23:37:55
msquiroga,Spanish,base (R files),124960,19464,23:40:08
msquiroga,Spanish,base (R files),124965,19464,23:41:13
msquiroga,Spanish,base (R files),124966,19464,23:42:07
msquiroga,Spanish,base (R files),124977,19464,23:58:41
msquiroga,Spanish,base (R files),124985,19465,00:00:29
msquiroga,Spanish,base (R files),124990,19465,00:02:23
msquiroga,Spanish,base (R files),124993,19465,00:03:19
msquiroga,Spanish,base (R files),124994,19465,00:03:37
msquiroga,Spanish,base (R files),124996,19465,00:03:51
msquiroga,Spanish,base (R files),125000,19465,00:04:39
msquiroga,Spanish,base (R files),125004,19465,00:05:31
msquiroga,Spanish,base (R files),125008,19465,00:06:07
msquiroga,Spanish,base (R files),125014,19465,00:07:38
msquiroga,Spanish,base (R files),125015,19465,00:08:01
msquiroga,Spanish,base (R files),125018,19465,00:08:42
msquiroga,Spanish,base (R files),125024,19465,00:09:45
msquiroga,Spanish,base (R files),125025,19465,00:09:53
msquiroga,Spanish,base (R files),125032,19465,00:12:00
msquiroga,Spanish,base (R files),125033,19465,00:12:22
msquiroga,Spanish,base (R files),125034,19465,00:12:36
msquiroga,Spanish,base (R files),125035,19465,00:13:03
msquiroga,Spanish,base (R files),125036,19465,00:13:39
msquiroga,Spanish,base (R files),125037,19465,00:13:41
msquiroga,Spanish,base (R files),125038,19465,00:13:56
msquiroga,Spanish,base (R files),125039,19465,00:14:10
msquiroga,Spanish,base (R files),124877,19562,21:27:34
